[2026-03-24T04:54:08.954Z] Server started/reloaded
[2026-03-24T04:55:43.451Z] Server started/reloaded
[2026-03-24T05:05:36.552Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:05:36.555Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:05:36.562Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:05:36.565Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:05:36.570Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:05:36.574Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:05:36.576Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:05:36.585Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:05:36.589Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:05:36.595Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:05:36.599Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:05:36.605Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:05:38.239Z] [REQUEST] GET /api/passes
[2026-03-24T05:05:41.286Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:05:41.291Z] [REQUEST] POST /api/ai/generate
[2026-03-24T05:05:41.294Z] [REQUEST] POST /api/ai/generate
[2026-03-24T05:05:41.303Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:05:43.798Z] [REQUEST] GET /api/passes
[2026-03-24T05:06:07.119Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:06:07.120Z] [REQUEST] GET /api/passes
[2026-03-24T05:06:07.127Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:06:14.844Z] [REQUEST] POST /api/passes
[2026-03-24T05:06:14.856Z] [REQUEST] GET /api/passes
